transaction_id;customer_id;transaction_date;currency;amount;merchant;country;status;payment_method
1001;C001;1.05.2026;USD;125.50;Amazon;US;COMPLETED;CARD
1002;C002;1.05.2026;EUR;89.99;Zalando;DE;COMPLETED;PAYPAL
1003;C003;2.05.2026;PLN;450.00;Allegro;PL;PENDING;BLIK
1004;C001;2.05.2026;USD;15.20;Starbucks;US;COMPLETED;CARD
1005;C004;3.05.2026;GBP;220.10;Apple;UK;FAILED;CARD
1006;C005;3.05.2026;EUR;999.99;MediaMarkt;DE;COMPLETED;TRANSFER
1007;C002;4.05.2026;PLN;55.75;Lidl;PL;COMPLETED;CASH
1008;C006;4.05.2026;USD;112.1999;Netflix;US;COMPLETED;CARD
1009;C007;5.05.2026;EUR;670.40;Ikea;SE;PENDING;CARD
1010;C003;5.05.2026;PLN;33.30;Uber;PL;COMPLETED;BLIK
